name	Genome	NCBI_Taxid	superkingdom	phylum	class	order	family	genus	species
Flavodon flavus 38 v1.0	Flafl1	559739	Eukaryota	Basidiomycota	Agaricomycetes	Polyporales	Irpicaceae	Flavodon	Flavodon flavus
Issatchenkia orientalis SD108 v2.0	Issorie2	4909	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Pichiaceae	Pichia	Pichia kudriavzevii
Jahnula aquatica CBS 123560 v1.0	Jahaq1	435389	Eukaryota	Ascomycota	Dothideomycetes	Jahnulales	Aliquandostipitaceae	Jahnula	Jahnula aquatica
Fusarium cucurbiticola FSSC 10 v1.0	FusspF10_1	2747963	Eukaryota	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium cucurbiticola
Fusarium oxysporum f. sp. pisi T415 v1.0	FusoxT415	5507	Eukaryota	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium oxysporum
Fusarium bataticola FSSC 23 v1.0	FusspF23_1	2747386	Eukaryota	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium bataticola
Verticillium dahliae MPI-CAGE-AT-0001 v1.0	Verdah1	27337	Eukaryota	Ascomycota	Sordariomycetes	Glomerellales	Plectosphaerellaceae	Verticillium	Verticillium dahliae
Dacrymyces fennicus OMC1656 v1.0	Dactor1	2780975	Eukaryota	Basidiomycota	Dacrymycetes	Dacrymycetales	Cerinomycetaceae	Cerinomyces	Cerinomyces tortus
Aspergillus carlsbadensis CBS 123894 v1.0	Aspcar1	1810906	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus carlsbadensis
Aspergillus nomius IBT 12657 v1.0	Aspnom1	41061	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus nomiae
Aspergillus novoparasiticus CBS 126849 v1.0	Aspnovo1	986946	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus novoparasiticus
Aspergillus parasiticus CBS 117618 v1.0	Asppar1	5067	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus parasiticus
Aspergillus minisclerotigenes CBS 117635 v1.0	Aspmin1	656917	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus minisclerotigenes
