supergroup	division	subdivision	class	order	genomes	max.rDNA_copies	max.rDNA_variants	avg.distance	min.length	max.length	mean.length
Opisthokonta	Metazoa	Arthropoda	Hexanauplia	Siphonostomatoida	3	10	2	0.00182711188038129	6414	10481	7872
Opisthokonta	Metazoa	Arthropoda	Collembola	Entomobryomorpha	7	54	6	0.00555214285560902	4936	10746	6756.42857142857
Opisthokonta	Metazoa	Arthropoda	Collembola	Poduromorpha	1	1	1	0	6586	6586	6586
Opisthokonta	Metazoa	Arthropoda	Collembola	Symphypleona	6	166	4	0.00261976741435085	4994	7198	6397.66666666667
Opisthokonta	Metazoa	Arthropoda	Branchiopoda	Anostraca	1	1	1	0	5933	5933	5933
Opisthokonta	Metazoa	Arthropoda	Branchiopoda	Diplostraca	2	39	9	0.0153165715423379	6231	7797	7169.5
Opisthokonta	Metazoa	Arthropoda	Thecostraca	Balanomorpha	2	5	1	0	6163	6190	6176.5
Opisthokonta	Metazoa	Arthropoda	Thecostraca	Cirripedia	2	22	4	0.000534234537159208	6097	12431	6336.5
Opisthokonta	Metazoa	Arthropoda	Thecostraca	Pollicipedomorpha	2	4	2	0.000319340013134744	5877	6327	6073.5
Opisthokonta	Metazoa	Arthropoda	Chilopoda	Scolopendromorpha	1	4	4	0.0701556737061576	5193	7347	5439
Opisthokonta	Metazoa	Arthropoda	Ostracoda	Podocopida	3	2	2	0.00639930039502959	6158	6516	6378.66666666667
Opisthokonta	Metazoa	Chordata	Actinopteri	Acipenseriformes	3	2	1	0	5142	13305	9126
Opisthokonta	Metazoa	Chordata	Actinopteri	Albuliformes	2	14	2	0.0438995081044767	5167	5509	5327.5
Opisthokonta	Metazoa	Chordata	Actinopteri	Anabantiformes	7	157	25	0.0268564754781887	4803	6715	5352
Opisthokonta	Metazoa	Chordata	Actinopteri	Anguilliformes	12	191	8	0.0327280438199296	4645	5440	5248.5
Opisthokonta	Metazoa	Chordata	Actinopteri	Argentiniformes	2	175	1	0	5302	5302	5302
Opisthokonta	Metazoa	Chordata	Actinopteri	Atheriniformes	2	119	1	0	5468	5468	5468
Opisthokonta	Metazoa	Chordata	Actinopteri	Beloniformes	2	9	8	0.00865064789419142	5064	5355	5303
Opisthokonta	Metazoa	Chordata	Actinopteri	Blenniiformes	4	47	4	0.00626529871449002	5289	5570	5435.75
Opisthokonta	Metazoa	Chordata	Actinopteri	Carangaria	7	21	21	0.0144338379616289	5091	5381	5279.28571428571
Opisthokonta	Metazoa	Chordata	Actinopteri	Carangiformes	6	26	5	0.0161252146468334	5234	5458	5363.33333333333
Opisthokonta	Metazoa	Chordata	Actinopteri	Centrarchiformes	3	15	3	0.0113544682283654	4767	5411	5168.66666666667
Opisthokonta	Metazoa	Chordata	Actinopteri	Chaetodontiformes	2	4	1	0	5197	5198	5197.5
Opisthokonta	Metazoa	Chordata	Actinopteri	Characiformes	11	250	5	0.0108056050247028	4680	5626	5308.27272727273
Opisthokonta	Metazoa	Chordata	Actinopteri	Cichliformes	12	197	34	0.0131494604741951	4695	6606	5321.5
Opisthokonta	Metazoa	Chordata	Actinopteri	Clupeiformes	15	245	5	0.0122502714499572	4674	5634	5201.46666666667
Opisthokonta	Metazoa	Chordata	Actinopteri	Cypriniformes	84	1007	22	0.0186713341321501	4162	6670	5127.41666666667
Opisthokonta	Metazoa	Chordata	Actinopteri	Cyprinodontiformes	4	14	14	0.0149594756223929	5177	6969	6089.5
Opisthokonta	Metazoa	Chordata	Actinopteri	Elopiformes	2	12	12	0.016752704558717	6428	6878	6796
Opisthokonta	Metazoa	Chordata	Actinopteri	Eupercaria	9	110	2	0.00201796154486187	5228	5439	5377.44444444444
Opisthokonta	Metazoa	Chordata	Actinopteri	Gadiformes	11	308	46	0.01504234611307	4701	5772	5382.27272727273
Opisthokonta	Metazoa	Chordata	Actinopteri	Galaxiiformes	3	3	1	0	5051	5322	5141.66666666667
Opisthokonta	Metazoa	Chordata	Actinopteri	Gobiiformes	5	472	8	0.0197238130524579	5071	6716	5242.2
Opisthokonta	Metazoa	Chordata	Actinopteri	Gonorynchiformes	3	3	3	0.0878315639923045	4972	5158	5068.66666666667
Opisthokonta	Metazoa	Chordata	Actinopteri	Holocentriformes	2	2	1	0	5323	5324	5323.5
Opisthokonta	Metazoa	Chordata	Actinopteri	Istiophoriformes	2	2	2	0.0399272952994939	4989	5248	5214
Opisthokonta	Metazoa	Chordata	Actinopteri	Kurtiformes	2	6	2	0.0149113580701624	5347	5393	5387
Opisthokonta	Metazoa	Chordata	Actinopteri	Labriformes	3	270	8	0.00321351218447465	5365	5427	5391.66666666667
Opisthokonta	Metazoa	Chordata	Actinopteri	Lampriformes	3	70	11	0.00737803738780228	5064	6891	5293
Opisthokonta	Metazoa	Chordata	Actinopteri	Mugiliformes	3	183	2	0.000940958200919745	5271	5368	5324
Opisthokonta	Metazoa	Chordata	Actinopteri	Myctophiformes	6	295	4	0.00249170515147105	5021	5581	5359
Opisthokonta	Metazoa	Chordata	Actinopteri	Notacanthiformes	1	4	3	0.00525585859601226	5513	5524	5524
Opisthokonta	Metazoa	Chordata	Actinopteri	Osmeriformes	6	109	3	0.0156987768078895	4912	5517	5227.16666666667
Opisthokonta	Metazoa	Chordata	Actinopteri	Osteoglossiformes	1	11	11	0.0256381321946996	4897	5436	4897
Opisthokonta	Metazoa	Chordata	Actinopteri	Ovalentaria	6	33	7	0.0102510189690806	4957	5452	5190.33333333333
Opisthokonta	Metazoa	Chordata	Actinopteri	Perciformes	71	403	58	0.00725266059042302	4680	6482	5284.46478873239
Opisthokonta	Metazoa	Chordata	Actinopteri	Pleuronectiformes	7	238	31	0.00518918437280683	4981	5586	5424
Opisthokonta	Metazoa	Chordata	Actinopteri	Salmoniformes	36	443	50	0.0219399477979793	4703	6606	5180.94444444444
Opisthokonta	Metazoa	Chordata	Actinopteri	Scombriformes	7	232	2	0.000370136453174626	4867	5446	5322.57142857143
Opisthokonta	Metazoa	Chordata	Actinopteri	Siluriformes	21	72	21	0.0138888651188867	4599	5640	5179.52380952381
Opisthokonta	Metazoa	Chordata	Actinopteri	Spariformes	3	22	3	0.00325338790506171	5429	5479	5448
Opisthokonta	Metazoa	Chordata	Actinopteri	Stomiiformes	2	31	3	0.0152957562720922	5104	5192	5145
